Ftests;d1Ftests;d2Ftests;FFtests;pvaluesFtests;ttests;dfttest;Tttest;pvaluesttests;pvalueSymbol;pvalueplain;effectsize;Mturk;LabStudy;FieldStudy;NoStudy;NoExperiment;Journal;Year;Issue;Article
[];[];[];[];[];['t(63) = 2.4, p < .05', 't(63) = 2.8, p < .05', 't(63) = 2.3, p < .05'];['63', '63', '63'];['2.4', '2.8', '2.3'];['.05', '.05', '.05'];[' p =.935', ' p 2.6', ' p < .05', ' p 1.7', ' p < .05', ' p 2.5', ' p < .05', ' p 2.8', ' p < .01', ' p 4.2', ' p < .01', ' p 6.0', ' p < .01', ' p 4.1', ' p < .01', '(p < .05', ' p N .05', ' p < .05', ' p 5.5', ' p < .05', ' p 2.75', ' p 5.8', ' p < .05', ' p 3.6', ' p < .06', ' p 1.52', ' p 4.9', ' p < .05', ' p 1.6', ' p < .05', ' p < .05', ' p < .05', ' p 2.6', ' p 3.0', ' p < .05', ' p 2.9', ' p < .05', ' p 2.8', ' p 3.0', ' p 2.2', ' p < .05', ' p 2.5', ' p < .05', ' p < .05', ' p 3.5', ' p = .06', ' p 4.2', ' p < .05'];['.935', '.6', '.05', '.7', '.05', '.5', '.05', '.8', '.01', '.2', '.01', '.0', '.01', '.1', '.01', '.05', '.05', '.05', '.5', '.05', '.75', '.8', '.05', '.6', '.06', '.52', '.9', '.05', '.6', '.05', '.05', '.05', '.6', '.0', '.05', '.9', '.05', '.8', '.0', '.2', '.05', '.5', '.05', '.05', '.5', '.06', '.2', '.05'];[];[];[];['field experiment', 'field experiment'];['study 2', 'study 4', 'study 5', 'study 6', 'study 7', 'study 8', 'study 1', 'study 1', 'study 1', 'study 2', 'study 1', 'study 3', 'study 4', 'study 5', 'study 6', 'study 7', 'study 8', 'study 4', 'study 5', 'study 5', 'study 6', 'study 6', 'study 6', 'study 6', 'study 6', 'study 6', 'study 6', 'study 6', 'study 7', 'study 7', 'study 8', 'study 8', 'study 8', 'study 8', 'study 1', 'study 3'];[];JCR;11;6;JCR1106\657163.pdf.txt
['f(1, 114) = 5.30, p = .023', 'f(2, 114) = 5.46, p = .005', 'f(2, 114) = 3.73, p = .027', 'f(1, 114) = 16.43, p < .001', 'f(1, 114) = 5.30, p = .023', 'f(1, 113) = 2.65, p = .106', 'f(2, 114) = 5.46, p = .005', 'f(2, 113) = 2.93, p = .058', 'f(1, 87) = 57.79, p < .001', 'f(2, 87) = 5.34, p = .006', 'f(2, 77) = 11.47, p < .001', 'f(2, 77) = 4.69, p = .012', 'f(2, 59) = 4.15, p = .019'];['1', '2', '2', '1', '1', '1', '2', '2', '1', '2', '2', '2', '2'];['114', '114', '114', '114', '114', '113', '114', '113', '87', '87', '77', '77', '59'];['5.30', '5.46', '3.73', '16.43', '5.30', '2.65', '5.46', '2.93', '57.79', '5.34', '11.47', '4.69', '4.15'];['.023', '.005', '.027', '.001', '.023', '.106', '.005', '.058', '.001', '.006', '.001', '.012', '.019'];['t(156) = 20.35, p < .001', 't(118) = 41.26, p < .001', 't(68) = 10.36, p < .001', 't(68) = 3.71, p < .001'];['156', '118', '68', '68'];['20.35', '41.26', '10.36', '3.71'];['.001', '.001', '.001', '.001'];[' p =.984', ' p 2.40', ' p 5.59', ' p 0.98', ' p < .001', ' p 6.36', ' p 0.62', ' p < .001', ' p < .05', ' p = .023', ' p = .04', ' p = .005', ' p = .010', ' p = .027', ' p = .06', ' p < .001', ' p = .023', ' p = .04', ' p = .106', ' p = .02', ' p = .005', ' p = .058', ' p = .05', ' p < .05', ' p h 2', ' p = .097', ' p 2.08', ' p < .001', ' p < .001', ' p 4.71', ' p 2.01', ' p 6.19', ' p 1.28', ' p < .001', ' p = .006', ' p = .11', ' p = .0302', ' p = .0142', ' p < .05', ' p < .001', ' p < .001', ' p = .304', ' p 1.35', ' p < .001', ' p 0.74', ' p 1.65', ' p < .001', ' p 4.80', ' p = .079', ' p < .001', ' p = .23', ' p = .012', ' p = .11', ' p = .003', ' p = .055', ' p = .019', ' p = .10', ' p = .006', ' p = .060', ' p 117', ' p = .003', ' p = .071', ' p < .001', ' p = .930', ' p < .05', ' p = .006', ' p = .035', ' p = .134', ' p = .019', ' p < .05', ' p < .05'];['.984', '.40', '.59', '.98', '.001', '.36', '.62', '.001', '.05', '.023', '.04', '.005', '.010', '.027', '.06', '.001', '.023', '.04', '.106', '.02', '.005', '.058', '.05', '.05', '.097', '.08', '.001', '.001', '.71', '.01', '.19', '.28', '.001', '.006', '.11', '.0302', '.0142', '.05', '.001', '.001', '.304', '.35', '.001', '.74', '.65', '.001', '.80', '.079', '.001', '.23', '.012', '.11', '.003', '.055', '.019', '.10', '.006', '.060', '.003', '.071', '.001', '.930', '.05', '.006', '.035', '.134', '.019', '.05', '.05'];[];[];[];[];[];['experiment 3', 'experiment 1', 'experiment 2', 'experiment 3', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 3', 'experiment 2', 'experiment 3', 'experiment 3', 'experiment 3', 'experiment 1', 'experiment 2'];JCR;11;6;JCR1106\657239.pdf.txt
['f(1, 31) = 19.58, p < .01', 'f(2, 45) = 3.37, p < .05', 'f(2, 45) = 7.22, p < .01', 'f(2, 45) = 14.05, p < .01', 'f(1, 87) = 3.74, p < .06', 'f(1, 87) = 3.97, p < .05', 'f(1, 87) = 18.16, p < .01', 'f(1, 87) = 4.05, p < .05', 'f(1, 87) = 9.14, p < .01', 'f(1, 94) = 10.82, p < .01', 'f(2, 49) = 6.66, p < .01'];['1', '2', '2', '2', '1', '1', '1', '1', '1', '1', '2'];['31', '45', '45', '45', '87', '87', '87', '87', '87', '94', '49'];['19.58', '3.37', '7.22', '14.05', '3.74', '3.97', '18.16', '4.05', '9.14', '10.82', '6.66'];['.01', '.05', '.01', '.01', '.06', '.05', '.01', '.05', '.01', '.01', '.01'];['t(19) = 5.41, p < .001', 't(45) = 2.07, p < .05', 't(45) = 2.41, p < .05', 't(45) = 2.84, p < .05', 't(45) = 4.34, p < .05', 't(87) = 3.27, p < .01', 't(94) = 2.32, p < .01', 't(94) = 2.30, p < .01', 't(49) = 2.39, p < .01', 't(49) = 3.38, p < .01', 't(49) = 1.29, p 120'];['19', '45', '45', '45', '45', '87', '94', '94', '49', '49', '49'];['5.41', '2.07', '2.41', '2.84', '4.34', '3.27', '2.32', '2.30', '2.39', '3.38', '1.29'];['.001', '.05', '.05', '.05', '.05', '.01', '.01', '.01', '.01', '.01', ' 20'];[' p =.1046', ' p 2.00', ' p < .001', ' p 2.25', ' p < .01', ' p 5.10', ' p < .01', ' p 2.88', ' p < .01', ' p 4.38', ' p N .20', ' p 1.48', ' p < .05', ' p N .10', ' p 4.86', ' p < .01', ' p N .30', ' p 5.56', ' p 3.97', ' p < .01', ' p < .01', ' p 4.57', ' p 4.60', ' p N .65', ' p N .15', ' p 4.17', ' p < .05', ' p < .05', ' p < .05', ' p 126', ' p < .01', ' p 5.05', ' p 4.02', ' p 4.17', ' p < .05', ' p < .01', ' p 0.07', ' p < .05', ' p < .05', ' p 1.13', ' p N .20', ' p 1.11', ' p 1.20', ' p < .001', ' p < .04', ' p < .01', ' p 8.32', ' p N .60', ' p < .02', ' p 2.12', ' p < .03', '(p < .05', ' p N .25', ' p N .75', ' p < .001', ' p 3.42', ' p < .01', ' p N .15', ' p 2.73', ' p N .30', ' p 4.59', ' p < .01', ' p 176', ' p 127', ' p < .06', ' p < .05', ' p 160', ' p < .01', ' p 268', ' p 3.17', ' p < .01', ' p 4.06', ' p 3.05', ' p < .05', ' p < .05', ' p 3.80', ' p 5.04', ' p 3.19', ' p 3.14', ' p N .15', ' p < .01', ' p < .05', ' p < .01', ' p < .01', ' p 136', ' p 30.78', ' p < .001', ' p < .01', ' p < .01', ' p < .001', ' p 104', ' p 30.27', ' p < .01', ' p 2.29', ' p < .02', ' p 4.70', ' p 3.56', ' p < .01', ' p 2.46', ' p < .02', ' p N .45', ' p 1.74', ' p = .09', ' p 4.37', ' p < .01', ' p N .45', ' p N .40', ' p N .15', ' p < .03', ' p < .01', ' p 2.54', ' p = .01', ' p N .15', ' p 1.01', ' p 2.87', ' p < .01', ' p < .09', ' p 1.63', ' p 3.26', ' p < .01', ' p N .40', ' p 3.24', ' p N .45', ' p N .25', ' p N .25', ' p 4.96', ' p 4.02', ' p < .01', ' p < .01', ' p 4.43', ' p < .01', ' p 5.38', ' p 4.59', ' p < .01', ' p 3.70', ' p < .01', ' p < .01', ' p < .01', ' p < .04', ' p < .01', ' p < .01', ' p < .01', ' p < .01', ' p 120'];['.1046', '.00', '.001', '.25', '.01', '.10', '.01', '.88', '.01', '.38', '.20', '.48', '.05', '.10', '.86', '.01', '.30', '.56', '.97', '.01', '.01', '.57', '.60', '.65', '.15', '.17', '.05', '.05', '.05', '.01', '.05', '.02', '.17', '.05', '.01', '.07', '.05', '.05', '.13', '.20', '.11', '.20', '.001', '.04', '.01', '.32', '.60', '.02', '.12', '.03', '.05', '.25', '.75', '.001', '.42', '.01', '.15', '.73', '.30', '.59', '.01', '.06', '.05', '.01', '.17', '.01', '.06', '.05', '.05', '.05', '.80', '.04', '.19', '.14', '.15', '.01', '.05', '.01', '.01', '.78', '.001', '.01', '.01', '.001', '.27', '.01', '.29', '.02', '.70', '.56', '.01', '.46', '.02', '.45', '.74', '.09', '.37', '.01', '.45', '.40', '.15', '.03', '.01', '.54', '.01', '.15', '.01', '.87', '.01', '.09', '.63', '.26', '.01', '.40', '.24', '.45', '.25', '.25', '.96', '.02', '.01', '.01', '.43', '.01', '.38', '.59', '.01', '.70', '.01', '.01', '.01', '.04', '.01', '.01', '.01', '.01'];['d =', 'd ='];[];[];['field study'];[];['experiment 2', 'experiment 3', 'experiment 4', 'experiment 5', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 3', 'experiment 4', 'experiment 5', 'experiment 3', 'experiment 4', 'experiment 5', 'experiment 1', 'experiment 2', 'experiment 3', 'experiment 4', 'experiment 5', 'experiment 3', 'experiment 4', 'experiment 5', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 2', 'experiment 3', 'experiment 3', 'experiment 3', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 3', 'experiment 4', 'experiment 4', 'experiment 4', 'experiment 4', 'experiment 3', 'experiment 1', 'experiment 2', 'experiment 3', 'experiment 4', 'experiment 5', 'experiment 5', 'experiment 5', 'experiment 4', 'experiment 3', 'experiment 4', 'experiment 5', 'experiment 2', 'experiment 5', 'experiment 5', 'experiment 4', 'experiment 3', 'experiment 4', 'experiment 5', 'experiment 5', 'experiment 2', 'experiment 3'];JCR;11;6;JCR1106\657240.pdf.txt
['f(1, 34) = 1.55, p = .22', 'f(1, 33) = 22.27, p < .001', 'f(1, 33) = 22.27, p < .001', 'f(1, 33) = 16.85, p < .001', 'f(1, 49) = 5.86, p < .05', 'f(1, 49) = 2.06, ns', 'f(1, 49) = 5.14, p < .05', 'f(4, 61) = 3.86, p < .01', 'f(1, 177) = 16.96, p < .001', 'f(2, 177) = 3.90, p < .05', 'f(2, 177) = 10.91, p < .001', 'f(1, 182) = 25.74, p < .001', 'f(1, 182) = 8.66, p < .01', 'f(1, 184) = 22.89, p < .001', 'f(2, 184) = 7.67, p = .001', 'f(1, 189) = 6.27, p = .01', 'f(1, 171) = 31.99, p < .001', 'f(1, 171) = 58.33, p < .001', 'f(1, 171) = 27.95, p = .001', 'f(1, 171) = 61.67, p < .001'];['1', '1', '1', '1', '1', '1', '1', '4', '1', '2', '2', '1', '1', '1', '2', '1', '1', '1', '1', '1'];['34', '33', '33', '33', '49', '49', '49', '61', '177', '177', '177', '182', '182', '184', '184', '189', '171', '171', '171', '171'];['1.55', '22.27', '22.27', '16.85', '5.86', '2.06', '5.14', '3.86', '16.96', '3.90', '10.91', '25.74', '8.66', '22.89', '7.67', '6.27', '31.99', '58.33', '27.95', '61.67'];['.22', '.001', '.001', '.001', '.05', 'ns', '.05', '.01', '.001', '.05', '.001', '.001', '.01', '.001', '.001', '.01', '.001', '.001', '.001', '.001'];['t(34) = 1.25, ns', 't(33) = 4.72, p < .001', 't(33) = -5.38, p < .001', 't(61) = -2.86, p < .01', 't(61) = .60, ns', 't(61) = 0, ns', 't(61) = -.15, ns', 't(173) = -32.95, p < .001', 't(173) = -4.24, p < .001'];['34', '33', '33', '61', '61', '61', '61', '173', '173'];['1.25', '4.72', '5.38', '2.86', '.60', '0', '.15', '32.95', '4.24'];['ns', '.001', '.001', '.01', 'ns', 'ns', 'ns', '.001', '.001'];[' p =.1030', ' p 2.51', ' p 1.37', ' p 3.47', ' p 6.17', ' p 6.77', ' p 2.28', ' p 7.24', ' p 2.64', ' p < .001', ' p 6.66', ' p 1.76', ' p = .22', ' p < .001', ' p 3.47', ' p 2.64', ' p 7.24', ' p 2.51', ' p < .001', ' p 6.38', ' p 2.42', ' p < .001', ' p 3.33', ' p 2.11', ' p 6.96', ' p 2.09', ' p < .001', ' p < .05', ' p < .05', ' p < .01', ' p 5.54', ' p 1.33', ' p 4.08', ' p 1.26', ' p < .01', ' p 3.77', ' p 1.24', ' p 4.08', ' p 1.38', ' p 4.00', ' p 1.30', ' p < .001', ' p < .05', ' p < .001', ' p 5.13', ' p 1.15', ' p 6.62', ' p 1.18', ' p < .001', ' p 5.72', ' p 6.63', ' p < .01', ' p 6.62', ' p 1.24', ' p 6.26', ' p 1.18', ' p < .001', ' p = .001', ' p 5.39', ' p 1.21', ' p 6.92', ' p 5.95', ' p 1.02', ' p 6.70', ' p = .01', ' p 6.51', ' p 1.39', ' p 6.52', ' p 1.20', ' p 2.46', ' p 7.02', ' p < .001', ' p 2.09', ' p 1.60', ' p 2.08', ' p 1.62', ' p 2.09', ' p 1.56', ' p 5.17', ' p 2.18', ' p 2.49', ' p 1.05', ' p 5.42', ' p 2.56', ' p 1.19', ' p 5.61', ' p 1.19', ' p 4.87', ' p 1.21', ' p < .001', ' p 5.77', ' p 1.27', ' p 4.60', ' p < .001', ' p < .001', ' p = .001', ' p 5.11', ' p 6.23', ' p < .001', ' p 6.44', ' p 6.48', ' p 4.81', ' p < .001', ' p < .001', ' p < .05', ' p < .001', ' p < .001'];['.1030', '.51', '.37', '.47', '.17', '.77', '.28', '.24', '.64', '.001', '.66', '.76', '.22', '.001', '.47', '.64', '.24', '.51', '.001', '.38', '.42', '.001', '.33', '.11', '.96', '.09', '.001', '.05', '.05', '.01', '.54', '.33', '.08', '.26', '.01', '.77', '.24', '.08', '.38', '.00', '.30', '.001', '.05', '.001', '.13', '.15', '.62', '.18', '.001', '.72', '.63', '.01', '.62', '.24', '.26', '.18', '.001', '.001', '.39', '.21', '.92', '.95', '.02', '.70', '.01', '.51', '.39', '.52', '.20', '.46', '.02', '.001', '.09', '.60', '.08', '.62', '.09', '.56', '.17', '.18', '.49', '.05', '.42', '.56', '.19', '.61', '.19', '.87', '.21', '.001', '.77', '.27', '.60', '.001', '.001', '.001', '.11', '.23', '.001', '.44', '.48', '.81', '.001', '.001', '.05', '.001', '.001'];['d =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd ='];[];[];[];['study 1', 'study 2', 'study 3', 'study 4', 'study 1', 'study 4', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 2', 'study 2', 'study 2', 'study 1', 'study 1', 'study 1', 'study 2', 'study 3', 'study 3', 'study 2', 'study 2', 'study 2', 'study 3', 'study 3', 'study 3', 'study 2', 'study 2', 'study 4', 'study 4', 'study 4', 'study 4', 'study 4', 'study 2', 'study 3', 'study 4', 'study 4', 'study 4', 'study 1', 'study 2', 'study 3', 'study 4', 'study 4', 'study 1', 'study 2', 'study 3', 'study 2', 'study 4'];[];JCR;11;6;JCR1106\657430.pdf.txt
['f(1, 56) = 35.15, p < .01', 'f(1, 56) = 6.36, p < .05', 'f(1, 56) = 3.78, p < .06', 'f(1, 69) = 2.90, p < .1', 'f(1, 69) = 19.06, p < .01', 'f(1, 69) = 5.51, p < .05', 'f(1, 69) = 16.34, p < .01', 'f(1, 69) = 4.06, p < .05', 'f(1, 67) = 5.35, p < .05', 'f(1, 68) = 7.11, p < .01', 'f(1, 67) = 7.91, p < .01', 'f(1, 67) = 7.15, p < .01', 'f(1, 66) = 8.15, p < .01', 'f(1, 66) = 3.80, p < .1', 'f(1, 66) = 13.19, p < .01', 'f(1, 222) = 23.37, p < .01', 'f(1, 214) = 47.40, p < .01', 'f(1, 214) = 46.13, p < .01', 'f(1, 214) = 5.06, p < .05', 'f(1, 214) = 43.13, p < .01', 'f(1, 214) = 5.06, p < .05', 'f(1, 214) = 21.68, p < .01', 'f(1, 214) = 12.42, p < .01', 'f(1, 214) = 15.34, p < .01', 'f(1, 214) = 26.20, p < .01', 'f(1, 214) = 36.75, p < .01', 'f(1, 214) = 21.68, p < .01', 'f(1, 214) = 57.97, p < .01', 'f(1, 214) = 4.09, p < .05', 'f(1, 214) = 5.05, p < .05', 'f(1, 196) = 3.27, p < .10', 'f(1, 196) = 3.92, p < .05', 'f(1, 196) = 4.15, p < .05', 'f(1, 196) = 3.06, p < .10', 'f(1, 196) = 6.06, p < .05', 'f(1, 196) = 3.95, p < .05', 'f(1, 196) = 9.55, p < .01', 'f(1, 66) = 7.03, p < .05', 'f(1, 66) = 4.56, p < .05', 'f(1, 66) = 8.29, p < .05', 'f(1, 66) = 5.26, p < .05'];['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1'];['56', '56', '56', '69', '69', '69', '69', '69', '67', '68', '67', '67', '66', '66', '66', '222', '214', '214', '214', '214', '214', '214', '214', '214', '214', '214', '214', '214', '214', '214', '196', '196', '196', '196', '196', '196', '196', '66', '66', '66', '66'];['35.15', '6.36', '3.78', '2.90', '19.06', '5.51', '16.34', '4.06', '5.35', '7.11', '7.91', '7.15', '8.15', '3.80', '13.19', '23.37', '47.40', '46.13', '5.06', '43.13', '5.06', '21.68', '12.42', '15.34', '26.20', '36.75', '21.68', '57.97', '4.09', '5.05', '3.27', '3.92', '4.15', '3.06', '6.06', '3.95', '9.55', '7.03', '4.56', '8.29', '5.26'];['.01', '.05', '.06', '.1', '.01', '.05', '.01', '.05', '.05', '.01', '.01', '.01', '.01', '.1', '.01', '.01', '.01', '.01', '.05', '.01', '.05', '.01', '.01', '.01', '.01', '.01', '.01', '.01', '.05', '.05', '.10', '.05', '.05', '.10', '.05', '.05', '.01', '.05', '.05', '.05', '.05'];[];[];[];[];[' p =.1095', '(p N .2', ' p 2.66', ' p 3.29', ' p < .01', '(p N .2', ' p < .05', ' p 2.71', ' p 2.60', ' p N .7', ' p 2.97', ' p 3.62', ' p < .06', ' p N .2', ' p < .1', '(p N .3', ' p < .01', ' p N .7', ' p < .05', ' p < .01', ' p < .05', ' p 6.2', ' p 40.10', ' p < .05', '(p N .7', '(p N .1', ' p < .01', ' p 1.89', ' p < .05', ' p 40.10', ' p < .01', ' p 40.22', ' p 30.91', ' p < .01', '(p N .4', ' p < .01', '(p N .3', ' p < .1', ' p < .01', ' p 2.03', ' p < .05', ' p 2.36', ' p 2.98', ' p < .01', ' p 9.18', ' p 7.63', ' p < .01', ' p 8.95', ' p 7.89', ' p < .01', '(p N .4', ' p < .05', ' p < .01', ' p < .05', '(p N .5', ' p 9.25', ' p 7.78', ' p < .01', ' p < .01', '(p N .1', ' p 8.39', ' p 10.10', ' p < .01', ' p 8.03', ' p 7.52', ' p N .2', ' p 9.21', ' p 7.49', ' p < .01', ' p < .01', ' p 7.53', ' p 9.17', ' p < .01', ' p 7.37', ' p < .01', ' p 7.68', ' p N .4', ' p 10.10', ' p < .05', ' p 7.37', ' p 8.39', ' p < .05', ' p 10.21', ' p < .10', ' p 10.23', ' p < .05', '(p N .9', ' p < .05', ' p < .10', '(p 10.3', ' p 9.59', ' p < .05', ' p < .05', ' p 9.40', ' p < .01', ' p 10.25', ' p 9.79', ' p N .7', ' p 9.40', ' p 10.25', ' p N .2', '(p N .8', ' p N .4', ' p N .8', ' p N .6', ' p 4.08', ' p 4.94', ' p < .05', ' p < .05', '(p N .8', ' p < .05', ' p 6.38', ' p < .05', '(p N .4'];['.1095', '.2', '.66', '.29', '.01', '.2', '.05', '.71', '.60', '.7', '.97', '.62', '.06', '.2', '.1', '.3', '.01', '.7', '.05', '.01', '.05', '.2', '.10', '.05', '.7', '.1', '.01', '.89', '.05', '.10', '.01', '.22', '.91', '.01', '.4', '.01', '.3', '.1', '.01', '.03', '.05', '.36', '.98', '.01', '.18', '.63', '.01', '.95', '.89', '.01', '.4', '.05', '.01', '.05', '.5', '.25', '.78', '.01', '.01', '.1', '.39', '.10', '.01', '.03', '.52', '.2', '.21', '.49', '.01', '.01', '.53', '.17', '.01', '.37', '.01', '.68', '.4', '.10', '.05', '.37', '.39', '.05', '.21', '.10', '.23', '.05', '.9', '.05', '.10', '.3', '.59', '.05', '.05', '.40', '.01', '.25', '.79', '.7', '.40', '.25', '.2', '.8', '.4', '.8', '.6', '.08', '.94', '.05', '.05', '.8', '.05', '.38', '.05', '.4'];[];[];[];['field study'];['study 1', 'study 2', 'study 3', 'study 4', 'study 5', 'study 5', 'study 1', 'study 1', 'study 1', 'study 2', 'study 2', 'study 2', 'study 1', 'study 1', 'study 1', 'study 2', 'study 1', 'study 2', 'study 2', 'study 3', 'study 4', 'study 3', 'study 3', 'study 3', 'study 3', 'study 3', 'study 4', 'study 4', 'study 2', 'study 4', 'study 5', 'study 2', 'study 1', 'study 2', 'study 1', 'study 3', 'study 4', 'study 5', 'study 1', 'study 5'];[];JCR;11;6;JCR1106\657557.pdf.txt
[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];JCR;11;6;JCR1106\659967.pdf.txt
[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];JCR;11;6;JCR1106\659968.pdf.txt
[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];JCR;11;6;JCR1106\659969.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.4'];['.4'];[];[];[];[];[];[];JCR;11;6;JCR1106\659970.pdf.txt
['f(1, 204) = 24.9, p < .0001', 'f(1, 204) = 239.28, p < .0001', 'f(1, 204) = 30.49, p < .0001', 'f(1, 204) = 11.92, p < .001', 'f(1, 204) = 10.39, p < .002', 'f(1, 204) = 8.23, p < .005', 'f(1, 204) = 2.79, ns', 'f(1, 204) = 6.60, p = .01', 'f(1, 204) = 8.49, p < .005', 'f(1, 204) = 7.88, p < .006', 'f(1, 204) = 1.67, ns', 'f(1, 204) = 8.91, p < .004', 'f(1, 220) = 6.49, p < .02', 'f(1, 220) = 9.10, p < .005', 'f(1, 220) = .30, ns', 'f(1, 220) = 12.49, p = .005', 'f(1, 201) = 393.50, p < .0001', 'f(1, 161) = 2.98, p < .09', 'f(1, 161) = 15.74, p < .001', 'f(1, 161) = 5.43, p < .03', 'f(1, 161) = 4.34, p < .04', 'f(1, 161) = 4.04, p < .05', 'f(1, 161) = 8.05, p = .005', 'f(1, 161) = 11.74, p < .001'];['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1'];['204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '220', '220', '220', '220', '201', '161', '161', '161', '161', '161', '161', '161'];['24.9', '239.28', '30.49', '11.92', '10.39', '8.23', '2.79', '6.60', '8.49', '7.88', '1.67', '8.91', '6.49', '9.10', '.30', '12.49', '393.50', '2.98', '15.74', '5.43', '4.34', '4.04', '8.05', '11.74'];['.0001', '.0001', '.0001', '.001', '.002', '.005', 'ns', '.01', '.005', '.006', 'ns', '.004', '.02', '.005', 'ns', '.005', '.0001', '.09', '.001', '.03', '.04', '.05', '.005', '.001'];['t(160) = 2.07, p < .05'];['160'];['2.07'];['.05'];[' p =.62', ' p 3.3', ' p 1.01', ' p 1.00', ' p s$15', ' p < .0001', ' p 520', ' p < .0001', ' p 254', ' p < .0001', ' p 4.58', ' p 5.88', ' p < .001', ' p < .002', ' p 3.48', ' p < .005', ' p 3.29', ' p 1.83', ' p 3.41', ' p = .01', ' p < .005', ' p < .006', ' p 2.77', ' p < .004', ' p < .02', ' p < .005', ' p 3.18', ' p 1.91', ' p = .005', ' p < .0001', ' p 6.11', ' p 2.53', ' p < .01', ' p < .02', ' p < .05', ' p < .003', ' p < .001', ' p 3.69', ' p < .09', ' p < .001', ' p < .03', ' p 3.95', ' p < .006', ' p 3.36', ' p 2.77', ' p 1.74', ' p < .04', ' p < .05', ' p = .005', ' p 1.10', ' p < .001', ' p 1.73', ' p 2.36', ' p < .15', ' p 5.71', ' p < .02', ' p 5.43', ' p < .03', ' p 8.05', ' p = .005', ' p 5.07', ' p < .03', ' p 9.74', ' p = .0024', ' p 3.25', ' p < .084', ' p 3.11', ' p = .0802', ' p 7.98', ' p < .006', ' p < .0011', ' p 7.97', ' p <.0062', ' p = .00023', ' p 4.68', ' p < .04', ' p = .083', ' p 5.71', ' p < .024', ' p 2.12', ' p < .15', ' p < .05'];['.62', '.3', '.01', '.00', '.0001', '.0001', '.0001', '.58', '.88', '.001', '.002', '.48', '.005', '.29', '.83', '.41', '.01', '.005', '.006', '.77', '.004', '.02', '.005', '.18', '.91', '.005', '.0001', '.11', '.53', '.01', '.02', '.05', '.003', '.001', '.69', '.09', '.001', '.03', '.95', '.006', '.36', '.77', '.74', '.04', '.05', '.005', '.10', '.001', '.73', '.36', '.15', '.71', '.02', '.43', '.03', '.05', '.005', '.07', '.03', '.74', '.0024', '.25', '.084', '.11', '.0802', '.98', '.006', '.0011', '.97', '.0062', '.00023', '.68', '.04', '.083', '.71', '.024', '.12', '.15', '.05'];[];['mturk'];[];[];['study 1', 'study 2', 'study 3', 'study 1', 'study 1', 'study 1', 'study 2', 'study 2', 'study 3', 'study 2', 'study 3', 'study 3'];[];JCR;12;1;JCR1201\661893(1).pdf.txt
